Leonardo Spinazzola
Matthew James
Mauro Icardi
Davide Biraschi
Joaquín Correa
Boubacar N'Diaye
Rodrigo Ely
Matteo Politano
Bastos
Kévin Rodrigues
Domenico Berardi
Eric Dier
Rúben Vezo
André Gomes
Gonzalo Escalante
Charly Musonda
Chema
Ricardo Centurión
Rodrigo de Paul
Álex Granell
Steve Mounié
Mattia Bani
Sofiane Boufal
Thomas
Daniel Amartey
Achraf Lazaar
Rahman Chibsah
Pol Lirola
Timo Letschert
Andrew Robertson
Bruno Gaspar
Nelson Semedo
Guillermo Maripán
Sam Byram
Rubén Duarte
José Luis Morales
Antonio Sanabria
Rubén Peña
Diego Llorente
Burgui
Manuel Lazzari
José María Giménez
Jonathan Calleri
Adam Marušić
Alex Iwobi
Yeray
Lekue
Ayoze Pérez
Pere Pons
Fede Cartabia
Adam Masina
Patrik Schick
Jerome Sinclair
Alen Halilović
Stipe Perica
Ruben Loftus-Cheek
Gonçalo Guedes
Marko Grujić
Saša Lukić
Lorenzo Garritano
Elio Capradossi
José Mauri
Vittorio Parigini
Federico Bonazzoli
Tyrone Mings
Zakaria Bakkali
Jan Bednarek
Dawid Kownacki
Harry Winks
Andreas Pereira
Jairo Riedewald
Oleksandr Zinchenko
Roberto Gagliardini
Pione Sisto
Leroy Sané
Lys Mousset
Edoardo Goldaniga
Federico Bernardeschi
Stefano Sensi
Andrea Petagna
Mattia Zaccagni
Alfie Mawson
Iñaki Williams
One
Diego González
Joan Jordán
Rafa Navarro
Víctor Camarasa
Jason
Medrán
Solly March
Samir
Djené
Santi Mina
Carlos Vigaray
Filippo Ricci
DeAndre Yedlin
Simon Gustafson
Bruno Petković
Martín Montoya
Matías Nahuel
Ivi
Ángel Correa
Kenedy
Christian Lombardi
Jefferson Lerma
Isaiah Brown
Danilo Cataldi
Yerry Mina
Luis Suárez
Eric Bailly
Mario González
Davide Calabria
Mariano Moreno
Davinson Sánchez
Joe Gomez
Renato Sanches
Federico Di Francesco
Stuart Moore
Emerson Hyndman
Adalberto Peñaranda
Wallace
Adnan Januzaj
Leonardo Vido
Gumbau
Borja Lasso
Pablo Maffeo
Francesco Vicari
Andrea Ferrari
Alessandro Deiola
Timothy Castagne
Mohamed El Id
Antonín Barák
Edimilson Fernandes
Wilfred Ndidi
Bernardo Silva
José Naranjo
Nikola Maksimović
Sergej Milinković-Savić
Emanuel Cecchini
Michael Olunga
Roberto Martínez
Claudio Dell'Orco
Rade Bajić
Wesley Hoedt
Pablo Hernández
Giovanni Simeone
Paweł Jaroszyński
Georges-Kévin N'Koudou
Gianluca Gaudino
Alberto Nalini
Enes Ünal
Joe Lolley
Samu García
Gerard Valentín
Fousseni Diabaté
Federico Ricca
Erick Cabaco
Munir
Aritz Elustondo
Odriozola
Carlos Fernández
Álvaro Jiménez
Samuel Bastien
Mario Hermoso
Marcos Llorente
Élyaz Zidane
Lucas Hernández
Iván Alejo
Amadou Sané
Andoni Gorosabel
Jon Guridi
Imanol Sarriegi
Jon Bautista
Kasey Palmer
Ainsley Maitland-Niles
Jordan Hugill
Enis Bardhi
Hans Hateboer
Matt Targett
Emre Mor
Aarón
Jesús Vallejo
Renato Guerra
Aleix García
Florent Hadergjonaj
Demarai Gray
Filippo Romagna
Marko Rog
Nikola Vlašić
Lorenzo Venuti
Franck Kessié
Kelechi Iheanacho
Isaac Success
Nicolò Barella
Gianluca Felicioli
Manuel Locatelli
Ousmane Dembélé
Mauro Arambarri
Jonjoe Kenny
Dominic Solanke
Vesga
Adrián Marín
Benito Ramírez
Marco Asensio
Mattia Caldara
Oliver McBurnie
Rick Karsdorp
Kevin Bonifazi
Dodi Lukebakio
Lorenzo Mazzitelli
Mauricio Lemos
Adolfo Gaich
Jacob Murphy
Dominic Calvert-Lewin
Nano
Nacho Gil
Robin Gosens
Godfred Donsah
Sullay Kaikai
Sam McQueen
Dalbert
Borja Herrera
Ádám Nagy
Antonio Barreca
Andrija Balić
Adam Ounas
Lewis Cook
Josh Sims
Nacho Vidal
Brais Méndez
Filippo Cassata
Rolando Mandragora
Philip Billing
Dani Ceballos
Toni Lato
Lorenzo Pellegrini
Mohamed Fares
Ramadan Sobhi
Lucas Torreira
Kevin Lasagna
Lucas Boyé
Dejan Četer
Guilherme Arana
Max Aarons
Emmanuel Boateng
Gil Dias
Marcello Trotta
Mikel Merino
Álex Berenguer
Gerson
Gabriel Jesus
Marc Navarro
Marc Roca
Noah Okafor
Daniele Verde
Tammy Abraham
Andoni López
Unai Núñez
Íñigo Córdoba
Borja Mayoral
Theo Hernández
Amath Ndiaye
Pedro Pereira
Oliver Burke
Trent Alexander-Arnold
Eddie Nketiah
Joe Willock
